phone,address,speciality,district,title
"
        (212) 432-1324
    ","
        132 4th Ave,New York, NY 10003
    ",American (New),"
            Union Square, East Village, Greenwich Village        ",Bowery Road
"
        
    ","
        25 Essex St,New York, NY 10001
    ","Food Trucks,Japanese Curry","
            Koreatown, Midtown West        ",Don Don Ny
"
        (212) 842-8000
    ","
        146 Orchard St,New York, NY 10002
    ","Barbeque,Steakhouses,Burgers","
            Lower East Side        ",Butcher Bar
"
        (646) 590-3276
    ","
        122 Ludlow St,New York, NY 10002
    ",Ramen,"
            Lower East Side        ",Ramen Ishida
"
        (347) 689-3968
    ","
        247 5th Ave,Brooklyn, NY 11215
    ",Pubs,"
            Park Slope        ",The Commissioner
"
        (929) 295-0982
    ","
        579 5th Ave,Brooklyn, NY 11215
    ","French,Bakeries,Coffee & Tea","
            South Slope        ",Le French Tart
"
        (212) 375-9001
    ","
        99 E 52nd St,New York, NY 10022
    ","American (New),Cocktail Bars,Venues & Event Spaces","
            Midtown East        ",The Grill
"
        (212) 505-3420
    ","
        34 E 20th St,New York, NY 10003
    ",Middle Eastern,"
            Flatiron        ",Nur
"
        (917) 909-1023
    ","
        184 Dekalb Ave,Brooklyn, NY 11205
    ","Mediterranean,Cocktail Bars,Desserts","
            Fort Greene        ",Miss Ada
"
        (917) 475-1001
    ","
        151 E 57th St,New York City, NY 10022
    ","Latin American,Seafood,Cocktail Bars","
            Midtown East        ",Pulperia 57th
"
        (646) 678-5471
    ","
        206 9th Ave,New York, NY 10011
    ","Indian,Cocktail Bars","
            Chelsea        ",Aroqa
"
        (718) 789-3981
    ","
        637A Vanderbilt Ave,Brooklyn, NY 11238
    ",Thai,"
            Prospect Heights        ",Nourish
"
        (347) 689-3332
    ","
        4110 4th Ave,Brooklyn, NY 11232
    ","Coffee & Tea,Breakfast & Brunch","
            Sunset Park        ",Slimak
"
        (212) 777-5314
    ","
        43 E 20th St,New York, NY 10003
    ",Italian,"
            Flatiron        ",Fusco
"
        (212) 373-8900
    ","
        60 Greenwich Ave,New York, NY 10011
    ","Indian,Breakfast & Brunch,Cocktail Bars","
            West Village        ",Rahi
"
        (212) 799-1278
    ","
        244 W 72nd St,New York, NY 10023
    ","Sushi Bars,Japanese","
            Upper West Side        ",Sushi Kaito
"
        (212) 509-5096
    ","
        509 6th St,New York, NY 10009
    ",American (New),"
            East Village, Alphabet City        ",Out East
"
        (212) 385-9195
    ","
        1066 2nd Ave,New York, NY 10022
    ",Seafood,"
            Midtown East        ",The Shadmoor
"
        (212) 695-8388
    ","
        334 W 37th St,New York, NY 10018
    ","Poke,Japanese,Sushi Bars","
            Hell's Kitchen, Midtown West        ",Poké Fun
"
        (646) 355-1840
    ","
        341 Broome St,New York, NY 10013
    ","Comfort Food,American (Traditional)","
            Lower East Side, Little Italy        ",Esther & Carol
"
        (917) 935-6434
    ","
        35 Downing St,New York, NY 10014
    ","Pizza,Burgers","
            West Village        ",Emily West Village
"
        (917) 868-1084
    ","
        35-07 Broadway,Queens, NY 11106
    ","Poke,Hawaiian","
            Astoria        ",PokéWave
"
        (212) 564-8418
    ","
        224 W 35th St,New York, NY 10001
    ","Indian,Sandwiches,Wraps","
            Midtown West        ",Bombay Sandwich
"
        (212) 979-2315
    ","
        137 Eldridge St,New York, NY 10002
    ","Sandwiches,Coffee & Tea,Breakfast & Brunch","
            Lower East Side        ",Lena
"
        
    ","
        299 W Houston St,New York, NY 10014
    ","Breakfast & Brunch,Cafes","
            South Village        ",CHALAIT
"
        (646) 863-2027
    ","
        469 Avenue Of The Americas,New York, NY 10011
    ","Ramen,Noodles","
            West Village        ",E.A.K. Ramen
"
        
    ","
        159 Mott St,New York, NY 10013
    ","Ice Cream & Frozen Yogurt,Desserts","
            Little Italy        ",Milk & Cream Cereal Bar
"
        (212) 401-7986
    ","
        16 W 22nd St,New York, NY 10010
    ","Korean,Steakhouses","
            Flatiron        ",Cote
"
        (718) 676-7388
    ","
        1310 Cortelyou Rd,Brooklyn, NY 11226
    ",Thai,"
            Flatbush        ",Corthaiyou
"
        (646) 653-9793
    ","
        117 E 41st St,New York, NY 10168
    ","Poke,Hawaiian,Seafood","
            Midtown East, Murray Hill        ",Pokéworks
"
        
    ","
        43 W 32nd St,New York, NY 10001
    ","Japanese,Bars","
            Koreatown, Midtown West        ",East Sake Bar
"
        (956) 566-1730
    ","
        353 W 14th St,New York, NY 10014
    ","Chicken Shop,Food Trucks","
            Meatpacking District, Chelsea, West Village        ",Chick’nCone
"
        (347) 533-4750
    ","
        147 Lewis Ave,Brooklyn, NY 11221
    ",Filipino,"
            Bedford Stuyvesant        ",Tamá
"
        (646) 861-2152
    ","
        2869 Broadway,New York, NY 10025
    ",Cajun/Creole,"
            Morningside Heights        ",Shaking Crab
"
        (347) 704-0215
    ","
        219 Grand St,Brooklyn, NY 11211
    ","Korean,Pop-Up Restaurants","
            Williamsburg - South Side, Williamsburg - North Side        ",Belly
"
        (212) 689-0900
    ","
        133 E 31st St,New York, NY 10016
    ","Malaysian,Singaporean,Thai","
            Midtown East        ",Jalan 31
"
        (347) 808-7338
    ","
        12-14 31st Ave,Long Island City, NY 11106
    ","Mexican,Latin American,New Mexican Cuisine","
            Astoria        ",Fresco’s Cantina
"
        (646) 790-8720
    ","
        110 Wall St,New York, NY 10005
    ","Comfort Food,American (New)","
            Financial District        ",Fuku
"
        (646) 998-3976
    ","
        550 3rd Ave,New York, NY 10016
    ",Shanghainese,"
            Midtown East, Murray Hill        ",Little Alley
"
        (212) 837-1605
    ","
        280 Mulberry St,New York, NY 10012
    ","Coffee & Tea,Modern European,Bakeries","
            Nolita        ",Cafe Belle
"
        (212) 256-0768
    ","
        127 E 23rd St,New York, NY 10010
    ","Vietnamese,Soup","
            Gramercy, Flatiron        ",The Pho
"
        
    ","
        38 E 23rd St,New York, NY 10010
    ","Noodles,Burgers,Soup","
            Flatiron        ",Xi’an Famous Foods
"
        (646) 678-3392
    ","
        112 Mulberry St,New York, NY 10013
    ","Pizza,Italian","
            Little Italy, Chinatown        ",Zia Esterina Sorbillo
"
        (646) 861-3536
    ","
        263 W 30th St,New York, NY 10001
    ",Korean,"
            Midtown West        ",Purple Rice
"
        (347) 442-0443
    ","
        689 Washington Ave,Brooklyn, NY 11238
    ",Thai,"
            Crown Heights, Prospect Heights        ",Six8Nine
"
        (718) 626-1222
    ","
        42-06 30th Ave,Astoria, NY 11103
    ",Thai,"
            Astoria        ",Pansiam
"
        (929) 399-5853
    ","
        128 W Houston St,New York, NY 10012
    ","Cocktail Bars,Japanese","
            Greenwich Village        ",Bar Moga
"
        (212) 661-0011
    ","
        120 E 41st St,New York, NY 10017
    ","Mediterranean,Lebanese","
            Midtown East, Murray Hill        ",Semsom Eatery
"
        
    ","
        147 Ave A,New York, NY 10009
    ","Ice Cream & Frozen Yogurt,Desserts,Waffles","
            East Village, Alphabet City        ",Eggloo
"
        (646) 657-0962
    ","
        61 E 8th St,New York, NY 10003
    ","Hawaiian,Poke,Japanese","
            Greenwich Village        ",RAW MKT
"
        (929) 337-7752
    ","
        196 Smith St,Brooklyn, NY 11201
    ","Lounges,Mediterranean","
            Cobble Hill, Gowanus        ",Phil & Anne’s Good Time Lounge
"
        (917) 745-0969
    ","
        32-02 Broadway,Astoria, NY 11106
    ","Mexican,Cocktail Bars","
            Astoria        ",Las Catrinas Mexican Bar & Eatery
"
        (347) 577-9504
    ","
        110 Wall St,New York, NY 10005
    ","Bakeries,Desserts,Coffee & Tea","
            Financial District        ",Momofuku Milk Bar
"
        (646) 861-0999
    ","
        1415 2nd Ave,New York, NY 10021
    ","Bars,Sandwiches","
            Yorkville, Upper East Side        ",Workshop
"
        (718) 215-8770
    ","
        107 N 12th St,Brooklyn, NY 11249
    ","Donuts,Coffee & Tea","
            Williamsburg - North Side        ",Du’s Donuts & Coffee
"
        (917) 832-7819
    ","
        32-7 30th Ave,Astoria, NY 11102
    ",Barbeque,"
            Astoria        ",Salt & Bone Smokehouse
"
        (212) 226-6889
    ","
        68 Mott St,New York, NY 10013
    ","Dim Sum,Tapas/Small Plates","
            Chinatown        ",DIM SUM VIP
"
        (646) 787-7502
    ","
        138 N 8th St,Brooklyn, NY 11249
    ","Breakfast & Brunch,Sandwiches,American (New)","
            Williamsburg - North Side        ",Egg Shop
"
        (646) 590-9010
    ","
        173 7th Ave S,New York, NY 10014
    ",Peruvian,"
            West Village        ",Baby Brasa
"
        (917) 668-2332
    ","
        214 Highlawn Ave,Brooklyn, NY 11223
    ","Tex-Mex,New Mexican Cuisine,Mexican","
            Gravesend        ",El Gallo Taqueria
"
        (415) 967-2622
    ","
        265 Canal St,New York, NY 10013
    ",Bubble Tea,"
            SoHo, Chinatown        ",Boba Guys
"
        (212) 888-9900
    ","
        835 Lexington Ave,New York, NY 10065
    ","Acai Bowls,Juice Bars & Smoothies,Vegan","
            Upper East Side        ",Loco Coco
"
        (212) 651-7292
    ","
        419 E 74th St,New York, NY 10021
    ",Sushi Bars,"
            Yorkville, Upper East Side        ",Sushi Ishikawa
"
        (212) 555-1212
    ","
        160 8th Ave,New York, NY 10011
    ","Bars,Mexican,Barbeque","
            Chelsea        ",Mexicue
"
        (888) 347-2747
    ","
        212 Prospect Park W,Brooklyn, NY 11215
    ",Burgers,"
            Windsor Terrace, South Slope        ",212 Burgers
"
        (888) 347-2747
    ","
        212 Prospect Park W,Brooklyn, NY 11215
    ",Burgers,"
            Windsor Terrace, South Slope        ",212 Burgers
"
        (646) 690-2023
    ","
        130 Saint Marks Pl,New York, NY 10009
    ","Pizza,Italian","
            East Village, Alphabet City        ",Tramonti La Pizza
"
        (718) 961-8666
    ","
        3636 Prince St,Flushing, NY 11354
    ","Japanese,Sushi Bars,Tapas/Small Plates","
            Downtown Flushing, Flushing        ",Robata
"
        (212) 774-9464
    ","
        184 1st Ave,New York, NY 10009
    ",Chicken Wings,"
            East Village        ",Atomic Wings
"
        (646) 707-0707
    ","
        186 Ave A,New York, NY 10009
    ","Wine Bars,Brazilian,Korean","
            East Village, Alphabet City        ",Gomi
"
        (646) 882-0333
    ","
        11 Stanton St,New York, NY 10002
    ",Russian,"
            Lower East Side        ",Samovarchik
"
        
    ","
        234 Lafayette St,New York, NY 10012
    ",Coffee & Tea,"
            SoHo, Nolita        ",Brooklyn Diamond Coffee
"
        (718) 243-0107
    ","
        445 Gold St,Brooklyn, NY 11201
    ",Grocery,"
            Downtown Brooklyn        ",Trader Joe’s
"
        
    ","
        34-56 33rd St,Long Island City, NY 11106
    ","Coffee & Tea,Breakfast & Brunch,Juice Bars & Smoothies","
            Astoria        ",Menu
"
        (212) 951-1141
    ","
        11 E 31st St,New York, NY 10016
    ",Cocktail Bars,"
            Midtown East        ",The Heights at Arlo Hotel
"
        (212) 951-1141
    ","
        11 E 31st St,New York, NY 10016
    ",Cocktail Bars,"
            Midtown East        ",The Heights at Arlo Hotel
"
        (646) 868-2936
    ","
        227 Mulberry St,New York, NY 10012
    ","Juice Bars & Smoothies,Coffee & Tea","
            Nolita        ",Go Goji
"
        (718) 388-3555
    ","
        594 Union Ave,Brooklyn, NY 11211
    ","Mexican,Cocktail Bars","
            Williamsburg - North Side        ",Casa Publica
"
        (917) 475-1721
    ","
        1048 3rd Ave,New York, NY 10065
    ","Cafes,American (New)","
            Upper East Side        ",Upper East Café
"
        (212) 388-9888
    ","
        199 2nd Ave,New York, NY 10003
    ",Japanese,"
            East Village        ",Oishi Village Sushi
"
        (646) 998-5722
    ","
        5 E 38th St,New York, NY 10016
    ",Mexican,"
            Midtown East        ",Mad Dog & Beans
"
        (212) 644-8900
    ","
        435 Park Ave S,New York, NY 10016
    ",Ramen,"
            Midtown East        ",Kame Ramen
"
        (646) 678-3338
    ","
        169 Mott St,New York, NY 10013
    ","Barbers,Fashion","
            Little Italy        ",Mott NYC
"
        
    ","
        144 E 4th St,Brooklyn, NY 11218
    ",Coffee & Tea,"
            Windsor Terrace        ",Windsor Coffee
"
        (718) 599-0735
    ","
        164 N 6th St,Brooklyn, NY 11211
    ","Tattoo,Piercing","
            Williamsburg - North Side        ",bedford tattoo
"
        (212) 945-0528
    ","
        301 S End Ave,New York, NY 10280
    ","Bars,American (New)","
            Battery Park        ",Treadwell Downtown
"
        (646) 807-1006
    ","
        265 Canal St,New York, NY 10013
    ",Dim Sum,"
            SoHo, Chinatown        ",Nom Wah Kuai
"
        (212) 597-9222
    ","
        161 8th Ave,New York, NY 10011
    ","Seafood,Wine Bars","
            Chelsea        ",Seamore’s
"
        (347) 689-4209
    ","
        215 Columbia St,Brooklyn, NY 11231
    ","Bars,Pizza,Gastropubs","
            Columbia Street Waterfront District        ",Toby’s Public House
"
        (718) 484-9022
    ","
        144 Evergreen Ave,Brooklyn, NY 11206
    ","Ramen,Wine Bars,Beer Bar","
            Bushwick        ",Chuko
"
        (347) 542-3396
    ","
        4052 Main St,Flushing, NY 11354
    ","Barbeque,Japanese","
            Downtown Flushing, Flushing        ",Gyu-Kaku Japanese BBQ
"
        (212) 956-0185
    ","
        688 10th Ave,New York, NY 10019
    ","Peruvian,Bars","
            Hell's Kitchen, Midtown West        ",Fusion HK Bar and Grill
"
        (212) 837-2774
    ","
        223 Grand St,New York, NY 10013
    ",Hair Salons,"
            Little Italy        ",Fox & Jane Bowery
"
        (718) 941-2022
    ","
        752 Coney Island Ave,Brooklyn, NY 11218
    ",Thai,"
            Flatbush        ",Mondayoff by Plant Love House
"
        (347) 627-7602
    ","
        492 Nostrand Ave,Brooklyn, NY 11216
    ",Cafes,"
            Bedford Stuyvesant        ",Strand cafe
"
        (646) 649-2503
    ","
        65 Rivington St,New York, NY 10002
    ",American (New),"
            Lower East Side        ",Hemlock
"
        (212) 650-0333
    ","
        304 E 78th St,New York, NY 10075
    ",Indian,"
            Yorkville, Upper East Side        ",Anand Indian Cuisine
"
        
    ","
        993 Lexington Ave,New York, NY 10021
    ","Cafes,Coffee & Tea,Juice Bars & Smoothies","
            Upper East Side        ",JOE & THE JUICE
"
        
    ","
        330 5th St,Brooklyn, NY 11215
    ","Desserts,Burgers,Breakfast & Brunch","
            Park Slope        ",Cafe Wolf
"
        
    ","
        250 Dekalb Ave,Brooklyn, NY 11205
    ",Vietnamese,"
            Fort Greene, Clinton Hill        ",Mekong Bk
"
        (212) 482-2111
    ","
        7 Hanover Square,Manhattan, NY 10004
    ","Mexican,Cocktail Bars","
            Financial District        ",Lenita
"
        (646) 217-4423
    ","
        110 Wall St,New York, NY 10005
    ","American (Traditional),Breakfast & Brunch,Bars","
            Financial District        ",Westville - Wall St
"
        
    ","
        1633 2nd Ave,New York, NY 10028
    ","American (Traditional),Burgers","
            Yorkville, Upper East Side        ",Wahlburgers
"
        (646) 559-5100
    ","
        1376 Lexington Ave 91st St,New York, NY 10128
    ","Pizza,Italian","
            Upper East Side        ",Marinara Pizza
"
        (646) 726-4245
    ","
        29 Clinton St,New York, NY 10002
    ","American (Traditional),Comfort Food","
            Lower East Side        ",Minnie’s On Clinton
"
        (646) 726-4245
    ","
        29 Clinton St,New York, NY 10002
    ","American (Traditional),Comfort Food","
            Lower East Side        ",Minnie’s On Clinton
"
        (347) 721-3822
    ","
        148 N 7th St,Brooklyn, NY 11249
    ","Pizza,Beer Bar","
            Williamsburg - North Side        ",Artichoke Basille’s Pizza
"
        (212) 256-0056
    ","
        1685 1st Ave,New York, NY 10128
    ","Cocktail Bars,Mexican","
            Yorkville, Upper East Side        ",Conmigo
"
        (917) 261-2497
    ","
        2896 Broadway,New York, NY 10025
    ","Chinese,Noodles,Coffee & Tea","
            Morningside Heights        ",Junzi Kitchen
"
        (718) 524-9162
    ","
        31-06 35th St,Astoria, NY 11106
    ",Creperies,"
            Astoria        ",Crepes House
"
        (347) 294-4786
    ","
        441 7th Ave,Brooklyn, NY 11215
    ",American (New),"
            Park Slope, South Slope        ",Camperdown Elm
"
        (917) 981-9431
    ","
        Brooklyn, NY 11201
    ","Taiwanese,Dim Sum,Food Trucks","
            Downtown Brooklyn        ",Yumpling Food Truck
"
        (347) 566-0604
    ","
        3371 Shore Pkwy,Brooklyn, NY 11235
    ",Modern European,"
            Sheepshead Bay        ",Luda’s Dumplings
"
        (929) 328-0409
    ","
        10-22 46th Ave,Long Island City, NY 11101
    ","Bowling,Bars","
            Hunters Point, Long Island City        ",The Gutter
"
        (718) 759-0900
    ","
        484 77th St,Brooklyn, NY 11209
    ","Halal,Fast Food,Middle Eastern","
            Bay Ridge        ",Al Basha Express
"
        (718) 759-0900
    ","
        484 77th St,Brooklyn, NY 11209
    ","Halal,Fast Food,Middle Eastern","
            Bay Ridge        ",Al Basha Express
"
        (786) 334-4420
    ","
        1151 Broadway,New York, NY 10001
    ",Juice Bars & Smoothies,"
            Flatiron        ",Dr Smood
"
        (212) 982-9030
    ","
        226 3rd Ave,New York, NY 10003
    ",Italian,"
            Gramercy        ",Sal Anthony’s
"
        (212) 966-4033
    ","
        55 Mott St,New York, NY 10013
    ","Dim Sum,Soup","
            Chinatown        ",Wonton Noodle Garden
"
        (917) 262-0894
    ","
        459 Lexington Ave,New York, NY 10017
    ",Sandwiches,"
            Midtown East        ",Artiserie sandwich boutique
"
        (646) 861-3356
    ","
        1402 2nd Ave,New York, NY 10021
    ","Mexican,Music Venues","
            Yorkville, Upper East Side        ",La Esquina UES
"
        (917) 355-6047
    ","
        93 Bowery,New York, NY 10002
    ","Sports Bars,Burgers,Seafood","
            Lower East Side, Chinatown        ",The Bowery Beer Garden
"
        (917) 388-2862
    ","
        217 E 26th St,New York, NY 10010
    ",Ice Cream & Frozen Yogurt,"
            Kips Bay        ",Tipsy Scoop
"
        (914) 494-0279
    ","
        470 Union Ave,Brooklyn, NY 11211
    ",Beer Bar,"
            Williamsburg - North Side        ",Beer Karma
"
        (212) 401-5515
    ","
        39 W 32nd St,New York, NY 10001
    ",Eyelash Service,"
            Koreatown, Midtown West        ",Lash Lift NYC
"
        (646) 649-5400
    ","
        127 4th Ave,New York, NY 10003
    ","Sandwiches,Juice Bars & Smoothies,Breakfast & Brunch","
            Union Square, East Village, Greenwich Village        ",Sandwicherie
"
        
    ","
        265 Canal St,New York, NY 10013
    ","Korean,Barbeque,Salad","
            SoHo, Chinatown        ",OPPA New Korean BBQ
"
        (718) 384-6004
    ","
        291 Kent Ave,Brooklyn, NY 11249
    ","Pizza,Wine Bars","
            Williamsburg - South Side        ",Fornino
"
        (718) 899-9100
    ","
        37-01 61st St,Woodside, NY 11377
    ","Indian,Bangladeshi","
            Woodside        ",Ruma’s Kitchen
"
        (212) 410-5588
    ","
        1580 3rd Ave,New York, NY 10128
    ","Italian,Bars,Cafes","
            Yorkville, Upper East Side        ",Siena
"
        (347) 927-7245
    ","
        250 Vesey St,New York, NY 10281
    ","Sailing,Boat Charters,Boating","
            Battery Park        ",True Sailing NYC
"
        (347) 696-2575
    ",,"Cafes,Juice Bars & Smoothies,Breakfast & Brunch",,Neighbors Café
"
        (917) 475-1082
    ","
        51 Division St,New York, NY 10002
    ",Chinese,"
            Lower East Side, Chinatown        ",Deng Ji II
"
        (646) 630-8057
    ",,"Cocktail Bars,Asian Fusion,Lounges","
            Chinatown        ",The Crown
"
        (212) 758-5588
    ","
        1159 1st Ave,New York, NY 10065
    ","Sandwiches,Cheese Shops,Beer, Wine & Spirits","
            Upper East Side        ",Milk and Hops
"
        (646) 630-8057
    ",,"Cocktail Bars,Asian Fusion,Lounges","
            Chinatown        ",The Crown
"
        (718) 674-6503
    ","
        10402 Metropolitan Ave,Flushing, NY 11375
    ","Mediterranean,Turkish","
            Forest Hills        ",Rimtin Mediterranean Restaurant
"
        (917) 741-4045
    ","
        243 E 13th St,New York, NY 10003
    ","Eyelash Service,Waxing,Permanent Makeup","
            East Village        ",T-Amori
"
        (212) 996-6544
    ","
        1821 2nd Ave,New York, NY 10128
    ","Bagels,Cafes","
            Yorkville, Upper East Side        ",Yorkville Bagel & Cafe
"
        (212) 586-5656
    ",,"Bars,Breakfast & Brunch","
            Midtown West        ",The Whitby Bar and Restaurant
"
        (718) 567-5263
    ","
        515 Atlantic Ave,Brooklyn, NY 11217
    ","Bars,Breakfast & Brunch,American (New)","
            Boerum Hill        ",Jane
"
        (718) 726-9857
    ","
        3225 Steinway St,Astoria, NY 11103
    ","Latin American,New Mexican Cuisine","
            Astoria        ",Lunera Modern Mexican
"
        (212) 730-8900
    ","
        120 W 41st St,New York, NY 10036
    ","Basque,Wine Bars,Breakfast & Brunch","
            Theater District, Midtown West        ",Ortzi
"
        (212) 265-9471
    ","
        683 9th Ave,New York, NY 10036
    ","Cuban,Burgers,Sandwiches","
            Theater District, Hell's Kitchen, Midtown West        ",Tumbao
"
        (646) 813-1013
    ","
        177 Ludlow St,New York, NY 10002
    ","Burgers,Beer Bar","
            Lower East Side        ",Black Tap
"
        (646) 813-1013
    ","
        177 Ludlow St,New York, NY 10002
    ","Burgers,Beer Bar","
            Lower East Side        ",Black Tap
"
        (212) 786-0760
    ",,"American (Traditional),Steakhouses,Sandwiches","
            Battery Park        ",Del Frisco’s Grille
"
        (212) 951-1082
    ","
        22 E 13th St,New York, NY 10003
    ",Indian,"
            Union Square, Greenwich Village        ",Babu Ji
"
        (347) 689-3564
    ","
        99 N 6th St,Brooklyn, NY 11249
    ","Cosmetics & Beauty Supply,Skin Care","
            Williamsburg - North Side        ",Credo
"
        (212) 432-1324
    ","
        80 13th St,New York, NY 10003
    ","Cocktail Bars,Tapas/Small Plates","
            Union Square, East Village, Greenwich Village        ",Library of Distilled Spirits
"
        (212) 633-2473
    ","
        44 9th Ave,New York, NY 10011
    ","Southern,Diners,Cocktail Bars","
            Meatpacking District, Chelsea        ",Fatbird
"
        (347) 276-5103
    ","
        74 Orchard St,New York, NY 10002
    ",Tacos,"
            Lower East Side        ",goa taco
"
        (347) 614-1779
    ",,"Middle Eastern,Kebab","
            Downtown Brooklyn        ",Kotti Berliner Döner Kebab
"
        (917) 663-6102
    ","
        38 E 23rd St,New York, NY 10010
    ","Creperies,French","
            Flatiron        ",By Suzette
"
        
    ","
        151 E 43rd St,New York, NY 10017
    ",Hair Salons,"
            Midtown East        ",QB House Tokyo
"
        
    ","
        638 Nostrand Ave,Brooklyn, NY 11216
    ","Tacos,Sandwiches,French","
            Crown Heights        ",O’tacos Brooklyn
"
        
    ","
        636 Degraw St,Brooklyn, NY 11217
    ",Mexican,"
            Gowanus        ",Parklife
"
        (718) 975-0325
    ","
        388 Troutman St,Brooklyn, NY 11237
    ","Tobacco Shops,Head Shops,Vape Shops","
            Bushwick        ",Bushwick Smoke Shop
"
        (917) 832-6359
    ","
        35-11 34th Ave,Queens, NY 11106
    ","Hot Dogs,Chicken Wings,Comfort Food","
            Astoria        ",East Coast Foodies
"
        (718) 414-2782
    ","
        445 Albee Square W,Brooklyn, NY 11201
    ","Home Decor,Arts & Crafts,Kitchen & Bath","
            Downtown Brooklyn        ",Flying Tiger Copenhagen
"
        (646) 895-9136
    ","
        1407 Broadway,New York, NY 10018
    ",Coffee & Tea,"
            Midtown West        ",Gregorys Coffee
"
        (646) 682-9113
    ","
        248 E 14th St,New York, NY 10003
    ","Nail Salons,Waxing,Skin Care","
            East Village        ",Beauty Cutie Nail & Spa
"
        (917) 767-6965
    ","
        568 Broadway,New York, NY 10012
    ","Accessories,Flea Markets","
            SoHo        ",Artists & Fleas
"
        (917) 261-4534
    ","
        575 8th Ave,New York, NY 10018
    ","Coffee & Tea,Patisserie/Cake Shop,Bakeries","
            Hell's Kitchen, Midtown West        ",Paris Baguette
"
        (212) 947-4000
    ","
        350 West 37th St,New York, NY 10018
    ","Breakfast & Brunch,Acai Bowls,Sandwiches","
            Hell's Kitchen, Midtown West        ",Mamamoo
"
        
    ","
        236 Troutman St,Brooklyn, NY 11237
    ",Bars,"
            Bushwick        ",Mad Tropical
"
        (646) 484-5440
    ","
        383 2nd Ave,New York, NY 10010
    ","Cards & Stationery,Gift Shops","
            Gramercy        ",Boyar Gifts
"
        (917) 388-3081
    ","
        138 5th Ave,New York, NY 10011
    ","Golf,Golf Lessons","
            Flatiron        ",Five Iron Golf
"
        
    ","
        445 Albee Square W,Brooklyn, NY 11201
    ","Delis,Sandwiches","
            Downtown Brooklyn        ",A Taste of Katz’s
"
        (929) 354-0474
    ","
        17637 Union Tpke,Fresh Meadows, NY 11366
    ","Coffee & Tea,Gelato,Juice Bars & Smoothies","
            Flushing, Hillcrest        ",Poke Coffee
"
        (212) 713-0033
    ","
        1700 Broadway,New York, NY 10019
    ",Poke,"
            Theater District, Midtown West        ",Oceana Poke
"
        
    ",,"Parks,Landmarks & Historical Buildings","
            Midtown West        ",The Channel Gardens
"
        (646) 707-3375
    ","
        160 E 44th St,New York, NY 10017
    ",Bubble Tea,"
            Midtown East        ",Gong Cha
"
        (212) 808-5511
    ","
        827 Third Ave,New York, NY 10022
    ",Delis,"
            Midtown East        ",Dishes
"
        (646) 858-2908
    ","
        2094 Frederick Douglass Blvd,New York, NY 10026
    ","Threading Services,Skin Care,Sugaring","
            Harlem        ","Real Beauty Threading,facial & waxing center"
"
        (646) 858-2908
    ","
        2094 Frederick Douglass Blvd,New York, NY 10026
    ","Threading Services,Skin Care,Sugaring","
            Harlem        ","Real Beauty Threading,facial & waxing center"
"
        (212) 956-5915
    ","
        947 8th Ave,New York, NY 10019
    ","Cuban,Sandwiches","
            Hell's Kitchen, Midtown West        ",Sophie’s Cuban Cuisine
"
        (718) 886-8526
    ",,"Dim Sum,Cantonese","
            Downtown Flushing, Flushing        ",New Mulan Seafood Restaurant
